voss,coss,viss,ciss,vrss,crss
0.210526316,2540.972706,1.78E-15,1717.908387,1.78E-15,291.7427014
4.315789474,2385.063795,4.421052632,1575.796023,1.157894737,269.1534804
7.157894737,2290.867653,10.84210526,1479.108388,6,141.2537545
13.05263158,1961.101175,24.21052632,1437.143053,11.15789474,62.37348355
16.94736842,1650.061001,98.84210526,1412.537545,15.78947368,30.90295433
20,1445.439771,,,22.94736842,14.28893959
22.42105263,1244.514612,,,28.21052632,10.59253725
26,1083.926914,,,33.89473684,8.81048873
33.15789474,954.992586,,,42.84210526,7.244359601
40.31578947,896.3961859,,,54.63157895,6.165950019
53.15789474,826.9895086,,,66.94736842,5.432503315
73.68421053,749.8942093,,,80.10526316,5.040806191
84.21052632,724.4359601,,,96.84210526,4.841723676
99.68421053,691.8309709,,,,
